Place,Frequency
Chalchagn Pitschen,2
T4,2
la salita,2
tempo,2
Roseg Gletscher,2
Alpenraum,2
Schnee,2
Grats,2
La traccia,2
Empfinden,2
Piz Kesch,2
Bergwelt,2
Berner Oberland,2
Worten,2
Pferdekutsche,2
siamo,2
Pt,2
14.5h,2
Julierpass,2
Finsteraarhorn,2
Tempo,2
Steinmännern,2
E,2
Puoz,2
Tals,2
Zug,2
Schlüsselstelle,2
Himmelsleiter,2
salita,2
II,2
Brot,2
Tschiervagletschers,2
condizioni,2
Appenzellerland,2
Schneehühner,2
Himmelswillen,2
Stirnlampe,2
Bernina-Gipfel,2
Hotel Roseg-Gletscher,2
Bondo,2
III,2
Gipfeltag,2
S-Flanke,2
Hochsaison,2
Angriff,2
Rosegg,2
Fuorcla de la Sella,2
Spinas- Grat,2
Abseilstellen,2
Ot,2
Steinmannlis,2
Corn da Boval,2
…,2
Boval Scharte,2
Knien,2
Oberengadiner,2
"falle?""How",2
ÄquatorKein Picknick,2
Mount Kenya,2
Bovalscharte,2
Bellavista Terasse,2
Salecina,2
Piz Rosegg,2
Cambrena,2
Hüttenterrasse,2
Halle,2
derFuorcla Prievlusa,2
Steinmanndli,2
Skis,2
250Hm,2
Seil,2
Zürich,2
Blöcken,2
Chamanna Tschierva,2
Genaue,2
Gipfelgrates,2
Stavolta,2
cui si sprofonda,2
nel frattempo,2
cui,2
Corvatsch,2
Anm,2
Mulde,2
Rippe,2
Topo,2
Fortezza-Grates,2
Marco e Rosa-Hütte,2
Neuschnee,2
Pizzeria,2
Munt Pers,2
Steinmannli,2
Sass Queder,2
Muottas da Puntraschigna,2
Soglio,2
Bahnhof,2
conserva,2
Stuttgart,2
Berninapass,2
Walliser,2
Corvatschbahn,2
Murtèl,2
Piz Surlej,2
S,2
Wegweiser,2
Boval-Scharte,2
rifugio,2
Fourcla Boval,2
Roseggtal,2
Fuorcla Surlej,2
Surlej,2
Coazhütte,2
Roseg-Gipfel,2
San Matteo,2
Halde,2
Hotel Roseggletscher,2
Wolfgang,2
IV.,2
Gletschers,2
Brocken,2
dran,2
Crast'Agüzza,2
Veltlin,2
Arriviamo,2
N Grat,2
höchsten Bündners,2
Picknickplatz,2
Schneeflanke,2
Rhätischen Bahn,2
Walliser Alpen,2
Skitour,2
Erde,2
Firnschneide,2
Felsriegels desPiz Cambrenadrehten,1
Goa-Trance,1
Piz TschiervaRoute,1
PontresinaBestiegen,1
Nordab,1
rechtes Spornes,1
Foppa Chalchagn,1
Siamo sul Piz Morteratsch,1
di prestigio,1
Il Piz Morteratsch,1
Per il Bernina,1
disporre di,1
la Biancograt da,1
Dal Ticino ci spostiamo,1
una zona turistica,1
Svizzera,1
Ci addentriamo,1
la Tschiervahütte,1
a metà,1
MTB oppure si fanno,1
Val Roseg - Sullo,1
Lungo i versanti di,1
Siamo,1
camera ci sono,1
Ma decidiamo di,1
La Chamanna,1
Ascesa al Piz MorteratschSveglia,1
un vallone percorso,1
Si tratta di un,1
che percorriamo sull'ampio filo,1
seguito,1
terminali,1
La vetta,1
Siamo felici,1
Questo,1
solitaria,1
Il Piz Tschierva,1
Piz MorteratschMa prima dobbiamo lasciare il,1
partenza a causa della nebbia,1
aiuto,1
La,1
Si intuisce che il tempo,1
Crast`Agüzza,1
Ci sarebbe,1
Parto un,1
La cresta presto si allarga e non presenta,1
tempo la raggiungo,1
si tratta di un'ampia cresta sommitale affacciata sulla Valle di Roseg,1
quanto,1
almeno,1
chiamato appunto,1
capanna,1
evidenza:/www.instagram.com,1
Wochenende-Betrieb,1
Jungfrau-Marathon,1
Morteratsch-Gruppe,1
Kurze Zeit,1
eidg,1
Bernina Häuser,1
Bernina-Ostgrat,1
Sass dal Pos,1
Chamanna Cuoz,1
Coaz,1
TourEs,1
Vadret da Fortezza,1
Pullovern,1
Skiroutenkarte,1
Mont Blanc,1
herrliche,1
Sarganserland,1
Palù,1
purtroppo apprendiamo che Ivan,1
la rottura di una ciaspola,1
la compagnia.ivanbuttiPuntiamo,1
quando arriviamo,1
Si risale su pista tracciata,1
si lascia il cammino,1
falsopiano dei Pasculs da Boval,1
le 11.00,1
dovessi proseguire,1
pazienza,1
direzione della Chamanna Boval,1
rientro del gruppo,1
weiss,1
Krempel,1
Moos,1
Pfad,1
aufeinander,1
Stein,1
Claudia,1
Gletscherfeld,1
uns einwirken,1
Sonnenlicht,1
Corvatsch-Bahn,1
Lej da Vadret,1
Rifugio Marco e Rosa CAI,1
Gletscherkessel,1
amSpallagratist,1
Sicherheitsgefühl,1
Piz MorteratschAm Vortag,1
Fussweg,1
Firnhalde,1
Lawinen,1
Wegspuren,1
Aussichtsbalkon,1
Alp Chünetta,1
Piz Palü Piz Bernina,1
Piz Moteratsch,1
Gipfels,1
Loipe,1
Klettermeter,1
Morteratsch-GletscherDer Piz Misaun,1
Bergriesen,1
Skitouren-Einsamkeit,1
Tannenwald,1
Wolkengrau Platz,1
Gewitter,1
Nachahmer,1
Crast' Alva,1
denPizzo Bianco,1
II Grat,1
Nächster Zug,1
Umur,1
Porta Roseg,1
3. Grad,1
4. Grad,1
Abstiegssinne,1
Tagwach,1
Felsgrates,1
Gletscherschrundes,1
Schreck,1
Bianco-Bernina,1
Berner-Viertausender,1
Kaffee,1
Gipfeli,1
Salsiz,1
Basler,1
Rifugio  Marco e,1
Oval,1
Einfach,1
äusserst,1
Anstieges,1
Piz Rosegg-Anwärtern,1
Piz Bernina Gipfel,1
Ok,1
Fuorcla prievlusa,1
Piz Palüund nunPiz Morteratsch,1
derZentralschweiznachPontresina,1
Rosegins,1
Baches,1
Gletschermoräne,1
Glücklich,1
Zickzack-Weg,1
wildes / steileres Terrain,1
Felsband,1
Wetterwechsels,1
zumRestaurant Rosegging,1
leckeres,1
Notebook,1
Schaffhausen,1
Eselsgrates,1
Gipfelkalotte,1
Königs-Tour,1
Piz Bernina!,1
Zacken,1
capanna e mi porta  giù la corda,1
Jackpot,1
Bergstiefel,1
Omen,1
Spätabends,1
Aufstehens,1
wonach,1
Restschnee,1
Bahnhof Morteratsch am Samstag,1
Schauer,1
Unverständlich,1
Vorspurern,1
Tschiervaaufca.2750mbis,1
WegspurenP.2814.,1
Muniring,1
Bergschrundes,1
zurChamanna da Tschierva,1
Surovas,1
Tais,1
Steintreppen,1
Kletterwändli,1
Wanderwegli,1
Jungfraujoch,1
Piz d'Arlas,1
Trittschnee-Bedingungen,1
Bernina-Massivs,1
besuchenJoergund,1
Firnes,1
Abstieges,1
wunderschön,1
Aufstieggelände,1
Morteratsch Bahnhof,1
Pierino Giuliani,1
Berninatour,1
La Spalla,1
Piz Bernina1:45,1
Sulz,1
Köcher,1
Durchfall,1
gespicktDer,1
Papierabzügen,1
Campomoro,1
Marinelli,1
tanto il primo pezzo lo conosciamo,1
Sella,1
Piz Roseg con le,1
questa stagione,1
direzione del canale nevoso di sinistra,1
il naso dello Scerscen,1
la fatica,1
ogni tanto mi fermo a guardare,1
Arriviamo alla base della cresta rocciosa,1
il primo tratto su roccia,1
Percorriamo,1
troviamo,1
Sella e piano piano torniamo sui nostri passi,1
una,1
la prima volta,1
breve arriviamo al rifugio ed avvisiamo il rifugista del nostro ritorno,1
Carate,1
Pontresina 7.80 Fr./,1
Firnfeld,1
Eis,1
Bellavistasattel,1
Porta da Roseg,1
Berlin,1
Roseggletschers,1
Gletscherzunge,1
Monte Rosso di Scerscen,1
Frühstücksrast,1
Piz Humor,1
Südwestseite,1
entschliessen,1
Herweg,1
IV. Grad,1
Klucker-Haken,1
mitführten,1
Adria,1
Po,1
Schwarzen Meer,1
Inn,1
Donau,1
Bergsturz am Piz Scerscen,1
Schleifen der Gebirge,1
Bergstürze,1
Flimser Bergsturz,1
Goldau,1
Brienz,1
Bergsturzgebietes,1
Südostschweiz,1
Hotel Rosegg,1
ersten Brücke,1
schuttbedeckten,1
Südsüdostgrat,1
Berninagipfel,1
Aussichts-Terrassa,1
Unterland,1
Getränken,1
Essen,1
oggi decidiamo di salire e scendere,1
giornata,1
la temperatura è fredda ma il cielo è sereno,1
seguito ci sono,1
ci ramponiamo,1
decidiamo di,1
la traccia,1
e percorriamo,1
la bellissima cima raggiunta…,1
si percorre il Vadretin da Tschierva,1
si incontrano due catene,1
dove ci gustiamo,1
Scerscen e Roseg,1
giugno a settembre,1
un ambiente a dir poco,1
Raffaele,1
Fuorcla Boval           ,1
3h41’Tot,1
Piz Bovalam,1
Beinen,1
Stirnlampenschein,1
Firnfelds,1
Geländein,1
Abstiegs,1
Mailand,1
T5,1
Mortertsch,1
T2,1
Ausbildungskurse,1
Mächtigen Piz Bernina,1
Chamana da Boval,1
Morteratesch,1
Gletscherweg,1
04.30h,1
Stirmlampen,1
Naturstrasse,1
Verhältnisse****************Die,1
Chamann da Boval,1
Rocky Mountains,1
Crasta da Spraunza,1
Roseg Tal,1
Do Abend,1
Felsenweg,1
Fuorcla de Boval,1
hikr,1
Fuorcla dann Pause,1
Frühstück,1
Minustemperaturen,1
Fuorcla da Bellavista,1
Gletscherlein,1
Piz Bernina3:45  Diavolezza,1
Berninagebietes,1
Vorteil,1
Klettersteig,1
BellavistaZuerst,1
II. Schwierigkjeitsgrad,1
Fuorcla BellavistaZuerst,1
Piz Spinas -,1
Essenstisch,1
"Bernina-,und",1
Abmarsch,1
Haus straff,1
Rucksäcke,1
Nachgemessen,1
Nordkante,1
Pers-Gletschers,1
Umfallen,1
Piz Trovats,1
Diavolezza Hütte,1
Bellavista-Gipfel,1
Beeilen,1
Hakenhöhe,1
Firn/Eis,1
Co.,1
Zernez,1
Morteratch,1
Bernina-Aussichtsberg,1
Gebiet,1
Routenwahl,1
grasig-feucht,1
Dämpfer,1
wh****s,1
Normal-Route,1
Spalten-Labyrinth,1
schönste Teil,1
Eselgrates,1
U.a,1
GR,1
Palü-Ostgipfel,1
Bike Pontresina - Hotel Roseg,1
P.3600,1
Pulvrigem,1
Vorhinein,1
Latsch durchs Val Roseg,1
Schrittempo,1
Kurzerhand,1
Damen,1
Geröllfeld,1
Widerstands,1
Vorsteiger,1
Aussichtsberg,1
Abbiegen,1
flott,1
momenta,1
Christine,1
Kärnten,1
Vadret da la Fortezza,1
Chrstine,1
Rif,1
Peccato,1
tornare alla,1
corrispondenza,1
la Boval,1
adestra,1
NW,1
presenza di,1
salti di roccia,1
faccia a valle,1
Emil,1
Chiara,1
Vale,1
Fabiano,1
Windeseile,1
Roseg-Tal,1
Heimatbahnhof,1
Dia-Kiste,1
Isla Pers,1
Kälte,1
Kletter-Passagen,1
Gipfel-Fotos,1
Situatioen,1
Abendessens,1
geniessen,1
Palü-Westgipfel,1
Haupt-,1
Wermuts-Tropfen,1
Piz PalüSchwierigkeit,1
Gletscherbrüchen,1
Fuorcola Trovat,1
Fuorcola d'Arlas,1
Piz Cambrena Nordsporns,1
"Piz Palü Ost-, Mittel- und",1
Westgipfel,1
Bellavista-Sattel,1
Bellavista-Eck,1
Schneide,1
Isla Perla,1
Moränenkrone,1
Moränenflanke,1
Piz Palü von West,1
PIz Bernina,1
Abmarsch an der Hütte,1
Gletscherterrasse,1
Kletterpassage,1
Bernina-Gipfelaufbaus,1
Espresso-Tassen,1
Tour,1
Piz Zupa,1
Spaltenlabyrith,1
derFuorcla Bellavista,1
Palü Haupgipfel,1
zumOstgipfel,1
Bruder,1
Nord-Ostwand,1
Le Piz Roseg se trouve dans le massif du Piz Bernina,1
Le passage de rochers ne fait plus,1
Besteigungsversuch,1
Piz Roseg Nordostwand,1
P,1
exponentiell,1
Felsgipfel,1
Supper,1
Abseilstellenrätsel,1
En passant sur le glacier,1
Sur,1
C'est assez facile de deviner où pourrait se,1
autre,1
la glace sous la,1
le brouillard,1
crevasseuse,1
mérité sa bière,1
Pontresinas,1
Piz Languard,1
Pontresinas Bahnhof,1
Punt Ota,1
Tages,1
Steinmännchen,1
Val Morteratsch,1
Traversing,1
A rock has fallen,1
solid rock,1
Very,1
walking,1
Spalla Grat,1
Südtiroler,1
Piz Scerscen - Piz Bernina,1
Piz Sol,1
Tschiervagletschers von der Tschiervahütte,1
Tschiervagletscher von der Tschiervahütte,1
Grad III,1
un vero e proprio labirinto,1
si è rivelata un continuo su e giù,1
Finalmente arriviamo alla base del Canalone della Cresta Guzza,1
Il superamento della terminale,1
problemi,1
basta stare,1
conserva e,1
con qualche pezzo su neve: mannaggia,1
Dal Rifugio,1
si raggiunge,1
breve,1
laBocchetta della Forbici,1
dalla quale si apre,1
Scerscen e Bernina,1
leggera discesa,1
si perviene all'ampio,1
proseguire,1
Proseguire,1
aperti,1
tarda,1
alto,1
posto il Rifugio Marco e,1
bianche).Raggiunto ilRifugio Marco e Rosa,1
la salita alla,1
continuazione,1
Fra,1
Vadrettin da Misaun,1
Abseilen,1
Traumpulver,1
Europa,1
Geröllrampe,1
Gipfelturm,1
Nebel Mittagsrast,1
buone condizioni e ancora ,1
sul secondo pendio,1
a 45,1
La cresta rocciosa,1
Fuorcla Crast`Agüzza,1
Hotelhöhe,1
Fussmarsch,1
Alpiner,1
La Sella,1
Piz Sella,1
Plastikgeschirr,1
Hotelniveau,1
Stk Brot,1
Marinelli Hütte,1
Piz Palü Massivs,1
Fuorca Crast`Agüzza,1
Bahnfahrt,1
le chemin,1
la fuorcla,1
pas de problèmes dans,1
sens,1
mettre les crampons,1
Ascension du Piz Morteratsch,1
pas de glace,1
Escalade du point,1
III maxi,1
Traversée Marco e Rosa,1
le bas,1
Vendredi,1
Muragl,1
Superbe lac de moraine et super vue sur les lacs de Saint Moritz,1
Piz Sesvenna,1
Scuol,1
S-Charl,1
Sesvenna-Hütte,1
Puntraschigna,1
Mez,1
RichtungSamedanhinunter,1
beiP.2630,1
Felsblöcke,1
Geröllfeldplateau,1
Piz Julier,1
Gipfelpause,1
Dämmern,1
Geh-Gelände,1
Wasser-Reserven,1
Nordwestflanke,1
Std.Piz Chalchagn,1
Momo,1
Gletschergeröll,1
Gilde,1
"T5 .""Momo",1
HauptgipfelCorn,1
NO-Rücken,1
Route T4-T5,1
Bänder,1
Zustiegsweg,1
Schöner Fels,1
Abstecher Gipfel,1
Total,1
Eisschwundes,1
Ungewissen…,1
Komfortansprüche,1
Bike-Strecke,1
Lärchenwald,1
zurChamona da Tschierva,1
Schneedecke,1
Placements,1
T-Schlitz,1
Jauchzer,1
Pflicht-Fotos,1
Chalttäli,1
Vrenelisgärtli,1
Bianco...,1
Anspruchsvollste Passage,1
’s Tal,1
Nord-Flanke,1
Palü-Gipfel,1
Vollleder-Bergstiefel,1
Lägh de la Duana,1
Val Maroz,1
Schneefällen,1
Chüvetta,1
Piz Duan,1
case,1
Gipfelmulde,1
Rufweite,1
Notsignal,1
Landeplatz,1
Bretagne,1
Schädeldecke,1
Genick,1
F.,1
P.S.,1
Hauptweg,1
Fop Seite,1
Vorgipfel,1
Secondo Piatto,1
Mittourengänger,1
Felssporn,1
Grat phänomenal,1
Boval-Hüttenweg,1
Piz Morterartsch,1
Kaiserwetter,1
Hoppla,1
Traverse of Piz Palu,1
Alaska,1
dreamed of doing for long,1
Dülfersitz,1
Fuorcla Surley,1
hetzen,1
Pause,1
Stau,1
Pulk,1
We,1
Morteratsch Gletscher,1
Marco Rosa Hütte,1
reden.-,1
Piz DuanAngeseilt,1
Piz Bernina-Überschreitung,1
Alpen-Viertausender,1
Chamonix,1
Mont-Blanc-und,1
rock climb for,1
Piz Prievlus,1
the whole route proved particularly challenging,1
Cambrenaflanke,1
Biancogrates,1
the rock did I pause to think and climb,1
"4,5h",1
Berner Alpen,1
SO-Richtung,1
Piz Cambrena-Westflanke,1
Piz Spinas-Piz Palü,1
Cambrena-Flanke,1
Vadret da Roseg,1
Berg,1
Eiswand,1
oberen Teil der Route,1
La Punt Chamues-ch,1
spaltenreichen Morteratschgletscher,1
breiteGletschermuldeund,1
Fortunately,1
Crast’Agüzza,1
Piz Berninan,1
Unfortunately,1
La Spedal,1
Berninan,1
Geltscherrampe „140Hm 30-35,1
"Morteratsch.,AusgangspunktBerghaus Diavolezza",1
my head,1
Südost,1
Ost,1
Aufstiegsspur,1
Fruehstueck,1
04.00h,1
Gletschertor,1
Vadret,1
Fuorcal da Boval,1
Gletscherschliff-Buckel,1
Händen,1
Windjacke,1
Bergsteiger-Autobahn,1
Chamonna Tuoi,1
Leiternsprossen,1
kuerze,1
PizAlv,1
Piz Palu,1
Bernina-Tour,1
Neuland,1
Pizen,1
pfunds,1
Tassilo,1
Wiedersehensfreude,1
Felsklotz,1
Restschneefelder,1
Felsausläufers,1
Gletscherdach,1
Tassilohttp://bergfieber.com/2012/08/01/spass-und-ernst-hochtouren-coaching-in-der-bernina/#more-1129,1
la voglia di tornare,1
tanta,1
Kutsche,1
posso,1
la traccia degli scialpinisti su,1
un buco,1
Pontresina Bahnhof,1
mentre,1
la geografia,1
Gipfel,1
La cornice si avvicina sempre,1
peccato,1
fascia,1
NO Flanke,1
traction,1
La cima,1
nulla esposto,1
appena un,1
buchi,1
che rendono l’,1
la seguo senza tentennamenti,1
fuori traccia,1
Morteratsch zum Ptk,1
Marco e Rosa,1
Lichterkette,1
Piz Alv /Bianco,1
Steigeisens,1
Sohle,1
Sobald Schnee,1
Palü-Sattel,1
Wiederaufstiege,1
Aufstiegsrinne,1
Lombardei,1
Bellavista-Terrasse,1
Sur Semda Boval,1
Tschierca,1
Nordostflanke,1
giornoDalla stazione di Pontresina,1
Val Roseg dove,1
il sentiero si restringe e inizia a risalire,1
si salgono gli ultimi,1
breve alla,1
Dalla,1
la Biancograt,1
prossimità di un grande ometto,1
fiumi di acqua che scorrono sulla superficie e ampi crepacci,1
senso orario sul ghiacciaio fino a,1
Purtroppo il ritiro del ghiacciaio,1
si risale il pendio di rocce instabili,1
decidiamo di seguire la facile e mai troppo esposta,1
prossimità del ghiacciaio,1
resta che seguire il percorso,1
Morteratschtal,1
zurBovalhütte,1
Verhauer,1
Reepschnürstände,1
zurFourcla da Boval,1
the cupboard,1
bouillon,1
pasta,1
Saliti,1
funivia,1
Mariano e Claudio,1
Einstiegsrinne,1
bisChünetta,1
Bovalkam,1
denFirnsattelder,1
Wildschutzgebietes,1
Waldes,1
Hochalpin,1
Piz Zupo Piz Bernina,1
Manne,1
Forcla Tschierva,1
Kamm,1
draußen,1
Rätische Bahn,1
Kutschentaxi,1
Corn Prievlusa,1
le retour à l'Hotel Roseg,1
trucs comme ça,1
le lendemain,1
ni même 30,1
Grand beau frais,1
le haut,1
Traversée de la branche inférieure du Glacier de Tschierva en glace,1
Accès à l'Eselgrat,1
Compter,1
kms du Val Roseg,1
soit,1
aussi,1
Den Gletscher,1
Grates am Gletscherrand,1
Gletscher,1
Straße,1
Morteratsch-Gletschers,1
Berner,1
Piz Argient,1
Untersatz,1
Piz Bernina-Gipfel,1
Kletterpassagen,1
Bellavista-Terassen,1
Piz Palü-Hauptgipfel,1
Ostgipfels,1
Julier,1
Bregenz,1
PD,1
Piz Palü-Überschreitung,1
Valascia,1
Marco è Rosahütte,1
Ambiente,1
Hacke,1
Samstag-Anklimatisations-Tour,1
Forcla,1
Alp,1
Val Misaun,1
Cori,1
lautstark,1
Bianco Grat,1
Saisonschluss,1
Hirschen,1
cervo,1
Alp Mandra,1
Rucksack,1
Abenteuer 'Piz Bernina,1
Bauchmuskeln,1
St.Gallen,1
Nachtruhe,1
lassen!)gehts,1
Schuh,1
Bügeln,1
II-III Grad,1
derDiavolezza Hütte,1
percorrendo la strada,1
mezzo alla pietraia,1
le ultime,1
La discesa prosegue,1
la vedretta di Caspoggio,1
pressi del Lago di Musella,1
ci immettiamo sul comodo sentiero che risale al rifugio Marinelli Bombardieri,1
Continuiamo subito a risalire,1
proseguiamo,1
mezzo alla pietraia fino a quando inizia,1
La traversata del ghiacciaio di Scerscen,1
i tempi,1
Raggiungiamo la base del canalone,1
corrispondenza della fascia,1
la fascia,1
sotto di noi,1
condizioni di sicurezza a dir poco,1
Il rifugio,1
attacchiamo,1
Punta Perrucchetti,1
anticima del Bernina,1
doppia e di li scendiamo il pendio,1
privo di crepacci,1
ferrata,1
particolare l'ultimo,1
adrenalinica dalla continua caduta di sassi dal pendio,1
ragazzi di altre cordate vengono,1
traversiamo,1
e armarci di pazienza,1
la via normale di salita passa prima,1
le difficoltà,1
Ci sentiamo di sconsigliare la salita alla Marco e Rosa dal versante italiano,1
nel tratto di canale,1
le scariche di massi,1
le 3,1
Kantons Graubünden,1
Bernina-Besteigung,1
Graubünden(->Quelle):Höchster,1
Moesa,1
Bocchetta,1
MittlerspitzÖstlichster,1
Piz ChavalatschWestlichster,1
DenRossbodenstockhaben Irène,1
Oberalppass,1
Lai da Tuma,1
grösstenDominanzder Alpen,1
Schartenhöheder Schweiz,1
Ankündigungsverein,1
Crast Agüzza,1
Nord-,1
Piz Trovant,1
Spanier,1
Spaniern,1
Berggasthofes,1
Alpen“!Schwer,1
Tiefblicke,1
Rund-um-Aussicht,1
Hans-Gerd,1
La zona del bernina,1
sembra,1
delle,1
cammino,1
Seguiamo le indicazioni,1
la chamanna boval,1
direzione del Piz Boval,1
ma andando,1
direzione del Piz Boval sino ad,1
alcuni punti,1
senso antiorario,1
dalla sella posta a quota 3038.Saliamo,1
la sella,1
animali,1
traverso,1
massi grossi arriviamo,1
Ritornati,1
poi decidiamo di andare a sinistra,1
modo da tagliare,1
Traumwetter,1
Ortskenntnisse,1
Doppeltour,1
Schliessfächer,1
Pickelbremse,1
Seil los,1
ca.20m,1
Piz Palü etc.,1
Picke,1
okay,1
Weissbrot,1
Maschen,1
Weglein,1
Morteratsch los,1
Morgenlichts,1
Skispuren,1
Vadret da Boval Dadour,1
erkenne,1
Crasta Boval,1
Zeitgründen,1
Morgensonne,1
Monte Rosa,1
Winter-Wanderweg,1
hatschlumpfbestens,1
Hikr,1
Mittelgipfel,1
S+)Nach,1
Nordostwand,1
Roseg-Hauptgipfel,1
Bellavista-Hauptgipfel,1
Bellavistatersse,1
Schneegrates,1
m,1
Bellavistaterasse,1
Berggänger,1
petto,1
T4.Früh,1
Parplatz,1
Puoz Bas,1
P2612.,1
P2612,1
Sueden,1
Fuorcla Crast' Aguzza,1
Harscheisen,1
prekaer,1
Grad,1
Schlusselstelle,1
dannach,1
Windstill,1
Prachtwetter,1
ueberhaupt,1
Liestal,1
Rosegg-Tal,1
Restaurant Rosegg,1
Leuchtstreifen,1
Nebelschwaden,1
Küsschen,1
Minestrone,1
Sicherheitsgründen,1
Piz Tschiervaentschieden,1
Engandina,1
il Palù,1
Basel,1
Obere Engadin,1
le Belleviste,1
zurBovalhüttebin,1
Adrian,1
Serpentinenweg,1
Vortags,1
Pizu Morteratsch,1
BiancogratNach,1
Bergell,1
Fuorcle Boval,1
totale relax,1
alta,1
muehsamste,1
Si potrebbe anche chiamarlo,1
Sabato trasferta,1
nodi,1
calate,1
salite,1
ecc,1
su facili,1
seguito su comodo sentiero lungo la morena del ghiacciaio del Morteratsch,1
5. Su sentierino si prende,1
quota,1
le foto di rito,1
e discesa,1
sospeso e,1
senza,1
nuvola,1
davanti a noi la Biancograt,1
Japaner,1
Berninablick,1
Blockfeld,1
Zweidritteln,1
Pasculs da Boval,1
Trubel vonMorteratschzurückkehren,1
Pass,1
Risiko,1
Letztenendes,1
Gurt,1
Tendenz,1
6.5h,1
Aublick,1
Schlingen-Abseilstelle,1
Bohrhakenstand,1
bedenke,1
Sa. bin ich,1
Sonnenschein,1
Val  Roseg,1
Furocla Prievlusa,1
Fourcla Tschierva,1
Fototasche,1
Wurstbroten,1
schweiz,1
Kolonne,1
Tal des Morteratschgletschers,1
Winterwanderweg,1
Meiner,1
Oberstdorf,1
derFuorcla Crast'Agüzzaund,1
liegendenMarco-e-Rosa Hütte,1
Ungelogen,1
Wachteleier,1
Region Zürich,1
Ponterina,1
Bernina-Berge,1
Gute Mutes,1
San Gian,1
Alten,1
Piz San Gian,1
St. Moritz Bad,1
Geturtel,1
WS+Wer,1
Sonntag-Abend,1
Massenlager-Bewohner,1
zurFuorcla Crast' Agüzza,1
Linzertorte,1
Grates zurLa Spedla,1
Spedladen Grat,1
demBuuch,1
una cornice da sogno,1
una superba giornata,1
si comincia a,1
La prima,1
si sale,1
alternando passaggi di II e di III,1
Noi,1
la semplicità del percorso e,1
la brevità,1
La tipologia del terreno,1
rallentati un poco,1
precedenza,1
una bellissima cornice,1
assaporare metro,1
3.7.2014,1
Bergsteigers,1
Hinweisschildern,1
Talkessels,1
Bahnhof Pontresina los,1
